hardness,depth,brightness,roughness,warmth,sharpness,boominess,reverb,filename,machine_id,machine_type,label
51.57596957712053,53.54071107551829,59.879434461877565,64.38799308547803,47.295193595564655,47.06882470209876,23.919411469107,0,00000251.wav,id_02,fan,normal
54.5778839273446,52.11333368542292,60.6379425017884,65.8306531751585,46.586032178856605,47.70480749509265,23.2046863436558,0,00000941.wav,id_02,fan,normal
53.70377155457868,50.395091815557336,60.625213088146296,64.89727738173335,46.59091236088368,48.14005564166465,23.226636278051057,0,00000658.wav,id_02,fan,normal
53.52468785285038,54.54882015464178,60.486441789696336,65.0416133318544,46.847783386815046,47.528648655974166,23.689593916821465,0,00000721.wav,id_02,fan,normal
60.18542156877487,56.77435878130375,60.05558274086965,65.65760439017794,47.168126081540365,47.22868381096417,23.78314901970854,0,00000526.wav,id_02,fan,normal
55.5609783735639,51.56243808625074,60.166939703088936,65.40805631495815,46.7204785859789,47.12075935563491,22.866829668778024,0,00000856.wav,id_02,fan,normal
54.98793101163625,53.31243769106872,60.26871073639341,65.59054728160321,46.57604849100452,48.48040285852554,22.98553817341896,0,00000085.wav,id_02,fan,normal
53.280882065129845,54.962369051597946,59.92304700835475,64.49663406353402,47.272706726003534,46.88022586977602,24.1020528710368,0,00000937.wav,id_02,fan,normal
54.399572704791694,52.1185453980194,60.172187091808574,63.77554344588432,46.59547751937426,47.93263852671256,21.86510914716275,0,00000382.wav,id_02,fan,normal
54.28590681118908,49.72860789299666,60.01229010111247,64.81376846325922,47.29982679930972,46.99952572153089,24.19326713169965,0,00000737.wav,id_02,fan,normal
54.22684900531914,52.22165243193976,60.33377230988459,65.03398658518718,46.74755703441247,48.02970736040977,23.665117617934825,0,00000103.wav,id_02,fan,normal
54.954499248265336,54.11921161634166,60.713271387536736,66.63349175866443,46.71814951604016,48.088565215017134,23.68705374127017,0,00000122.wav,id_02,fan,normal
54.620192710986544,50.03386459212808,60.44216740764528,66.17137789969549,46.02424605859875,47.99319434470511,21.48518734151968,0,00000624.wav,id_02,fan,normal
61.739415274148826,52.70962788583618,60.41161260930912,64.3783347245123,45.81140958958522,48.06202145710596,21.371876855320103,0,00000923.wav,id_02,fan,normal
54.15842554926758,50.267196447844185,59.90911539500942,64.48192028687608,47.20533976747872,47.06523546100529,23.71201291296824,0,00001012.wav,id_02,fan,normal
55.22469849399147,55.60632881791279,60.823399797036615,66.64960684416953,46.30119982093389,48.34898086395033,23.01348615399088,0,00001003.wav,id_02,fan,normal
55.54422118547572,54.08585537068826,60.19152500997239,65.94302990814646,46.92925493431649,47.30954367083877,23.39948197733506,0,00000249.wav,id_02,fan,normal
55.40472167622636,52.82912789529061,60.5745736372904,65.06389262719284,46.22716757852516,48.30611865820247,22.09940076032291,0,00000452.wav,id_02,fan,normal
55.45527856476298,49.69044767366504,60.82360715663517,66.26850968435326,45.63155881144847,48.47917973035732,21.024713554201664,0,00000516.wav,id_02,fan,normal
55.65671303070712,50.071953414499305,60.34476305674241,66.5943762662469,46.45789290275725,47.99337164052904,23.08174880214177,0,00000077.wav,id_02,fan,normal
55.20223432195644,53.00823868864009,60.57267751917139,66.35956872614354,46.26654050259301,48.14160240532899,22.078565455676635,0,00000839.wav,id_02,fan,normal
57.36887179117704,45.361732685254864,60.85939055576768,67.05887139778658,45.7572486428161,48.762741275018215,21.32473822411591,0,00000789.wav,id_02,fan,normal
57.026869444284245,48.46420527288127,63.21935229174338,69.06573393451356,43.69668735096767,50.96666559542108,18.8503933111406,0,00000014.wav,id_02,fan,normal
54.2848624805614,52.25438021615941,60.407515422828624,66.31571145856856,46.01907976259906,48.266155658991806,21.5440124929356,0,00000443.wav,id_02,fan,normal
54.28340367315866,47.99276579916967,60.05803254427043,66.03199637000492,46.76875668549668,47.82337869668941,23.416557629896687,0,00000630.wav,id_02,fan,normal
57.32214925467497,52.25992052119818,61.12774171571003,66.73476794807173,45.4491751406793,49.12240328880844,22.014457512720504,0,00000748.wav,id_02,fan,normal
53.08238840732855,57.33558170974487,59.85585231922301,64.60373001413019,47.33924121961032,47.07403887647281,23.628845139556816,0,00000638.wav,id_02,fan,normal
53.17148300127639,51.35790037543883,60.16608891556898,64.74111945794937,46.58840658258726,47.795239849334806,21.8940546697644,0,00000561.wav,id_02,fan,normal
